timestamp,open,high,low,close,volume,FGI,catigorization 
09/01/2023,17127.83,17398.8,17104.66,17178.26,266211.5272,25,Extreme Fear
10/01/2023,17179.04,17499,17146.34,17440.66,221382.4258,26,Fear
11/01/2023,17440.64,18000,17315.6,17943.26,262221.6065,26,Fear
12/01/2023,17943.26,19117.04,17892.05,18846.62,454568.3218,30,Fear
13/01/2023,18846.62,20000,18714.12,19930.01,368615.8782,31,Fear
14/01/2023,19930.01,21258,19888.05,20954.92,393913.7495,46,Fear
15/01/2023,20952.76,21050.74,20551.01,20871.5,178542.2255,52,Neutral
16/01/2023,20872.99,21474.05,20611.48,21185.65,293078.0826,45,Fear
17/01/2023,21185.65,21647.45,20841.31,21134.81,275407.7441,51,Neutral
18/01/2023,21132.29,21650,20407.15,20677.47,350916.0195,52,Neutral
19/01/2023,20677.47,21192,20659.19,21071.59,251385.8493,45,Fear
20/01/2023,21071.59,22755.93,20861.28,22667.21,338079.1366,51,Neutral
21/01/2023,22666,23371.8,22422,22783.55,346445.4843,53,Neutral
22/01/2023,22783.35,23078.71,22292.37,22707.88,253577.7529,53,Neutral
23/01/2023,22706.02,23180,22500,22916.45,293588.3794,50,Neutral
24/01/2023,22917.81,23162.2,22462.93,22632.89,293158.7825,52,Neutral
25/01/2023,22631.94,23816.73,22300,23060.94,346042.8322,51,Neutral
26/01/2023,23060.42,23282.47,22850.01,23009.65,288924.4358,54,Neutral
27/01/2023,23009.65,23500,22534.88,23074.16,280833.8632,55,Greed
28/01/2023,23074.16,23189,22878.46,23022.6,148115.7109,52,Neutral
29/01/2023,23021.4,23960.54,22967.76,23742.3,295688.792,55,Greed
30/01/2023,23743.37,23800.51,22500,22826.15,302405.9012,61,Greed
31/01/2023,22827.38,23320,22714.77,23125.13,264649.3491,51,Neutral
01/02/2023,23125.13,23812.66,22760.23,23732.66,310790.4227,56,Greed
02/02/2023,23731.41,24255,23363.27,23488.94,364177.2075,60,Greed
03/02/2023,23489.33,23715.7,23204.62,23431.9,332571.029,60,Greed
04/02/2023,23431.9,23587.78,23253.96,23326.84,166126.473,58,Greed
05/02/2023,23327.66,23433.33,22743,22932.91,209251.3392,58,Greed
06/02/2023,22932.91,23158.25,22628.13,22762.52,265371.6069,56,Greed
07/02/2023,22762.52,23350.25,22745.78,23240.46,308006.7248,54,Neutral
08/02/2023,23242.42,23452,22665.85,22963,280056.3072,58,Greed
09/02/2023,22961.85,23011.39,21688,21796.35,402894.6955,55,Greed
10/02/2023,21797.83,21938.16,21451,21625.19,338591.9425,48,Neutral
11/02/2023,21625.19,21906.32,21599.78,21862.55,177021.5843,49,Neutral
12/02/2023,21862.02,22090,21630,21783.54,204435.6516,50,Neutral
13/02/2023,21782.37,21894.99,21351.07,21773.97,295730.7679,48,Neutral
14/02/2023,21774.63,22319.08,21532.77,22199.84,361958.4011,50,Neutral
15/02/2023,22199.84,24380,22047.28,24324.05,375669.1611,53,Neutral
16/02/2023,24322.87,25250,23505.25,23517.72,450080.6837,62,Greed
17/02/2023,23517.72,25021.11,23339.37,24569.97,496813.2138,61,Greed
18/02/2023,24568.24,24877,24430,24631.95,216917.2521,60,Greed
19/02/2023,24632.05,25192,24192.57,24271.76,300395.9954,60,Greed
20/02/2023,24272.51,25121.23,23840.83,24842.2,346938.57,58,Greed
21/02/2023,24843.89,25250,24148.34,24452.16,376000.8287,60,Greed
22/02/2023,24450.67,24476.05,23574.69,24182.21,379425.7537,59,Greed
23/02/2023,24182.21,24599.59,23608,23940.2,398400.4544,56,Greed
24/02/2023,23940.2,24132.35,22841.19,23185.29,343582.5745,53,Neutral
25/02/2023,23184.04,23219.13,22722,23157.07,191311.8101,52,Neutral
26/02/2023,23157.07,23689.99,23059.18,23554.85,202323.7362,51,Neutral
27/02/2023,23554.85,23897.99,23106.77,23492.09,283706.0859,50,Neutral
28/02/2023,23492.09,23600,23020.97,23141.57,264140.9989,53,Neutral
01/03/2023,23141.57,24000,23020.03,23628.97,315287.4174,50,Neutral
02/03/2023,23629.76,23796.93,23195.9,23465.32,239315.4522,51,Neutral
03/03/2023,23465.32,23476.95,21971.13,22354.34,319954.1979,50,Neutral
04/03/2023,22354.34,22410,22157.08,22346.57,121257.3813,50,Neutral
05/03/2023,22346.57,22662.09,22189.22,22430.24,154841.7579,47,Neutral
06/03/2023,22430.24,22602.19,22258,22410,203751.8296,48,Neutral
07/03/2023,22409.41,22557.91,21927,22197.96,292519.8091,49,Neutral
08/03/2023,22198.56,22287,21580,21705.44,301460.5727,50,Neutral
09/03/2023,21704.37,21834.99,20042.72,20362.22,443658.2858,44,Fear
10/03/2023,20362.21,20367.78,19549.09,20150.69,618456.4671,34,Fear
11/03/2023,20150.69,20686.51,19765.03,20455.73,427831.8213,33,Fear
12/03/2023,20455.73,22150,20270.6,21997.11,430944.9429,33,Fear
13/03/2023,21998.05,24500,21813.88,24113.48,687889.3126,49,Neutral
14/03/2023,24112.27,26386.87,23976.42,24670.41,699360.9342,56,Greed
15/03/2023,24670.41,25196.97,23896.95,24285.66,581450.7298,50,Neutral
16/03/2023,24285.66,25167.4,24123,24998.78,439421.33,52,Neutral
17/03/2023,24998.78,27756.84,24890,27395.13,624460.6809,51,Neutral
18/03/2023,27395.13,27724.85,26578,26907.49,371238.9717,64,Greed
19/03/2023,26907.49,28390.1,26827.22,27972.87,372066.9905,63,Greed
20/03/2023,27972.87,28472,27124.47,27717.01,477378.2337,66,Greed
21/03/2023,27717.01,28438.55,27303.1,28105.47,420929.7422,68,Greed
22/03/2023,28107.81,28868.05,26601.8,27250.97,224113.413,62,Greed
23/03/2023,27250.97,28750,27105,28295.41,128649.6082,57,Greed
24/03/2023,28295.42,28374.3,27000,27454.47,86242.06544,61,Greed
25/03/2023,27454.46,27787.33,27156.09,27462.95,50844.08102,64,Greed
26/03/2023,27462.96,28194.4,27417.76,27968.05,49671.70353,64,Greed
27/03/2023,27968.05,28023.86,26508.14,27124.91,88039.46898,64,Greed
28/03/2023,27124.9,27520,26631.78,27261.07,78602.44341,59,Greed
29/03/2023,27261.06,28650,27240.1,28348.6,89486.16008,57,Greed
30/03/2023,28348.6,29184.68,27686,28028.53,98865.43256,60,Greed
31/03/2023,28028.53,28656.69,27511.71,28465.36,78198.12139,63,Greed
01/04/2023,28465.36,28819.71,28220.27,28452.73,30238.44753,61,Greed
02/04/2023,28452.74,28530,27856.43,28171.87,37365.65692,63,Greed
03/04/2023,28171.87,28500.99,27200.24,27800,79180.01405,63,Greed
04/04/2023,27800,28444.44,27662.79,28165.47,49722.55691,62,Greed
05/04/2023,28165.47,28775,27805.1,28170.01,60737.64732,62,Greed
06/04/2023,28170.01,28182.05,27711,28033.82,40118.94963,63,Greed
07/04/2023,28033.83,28100,27766.94,27906.33,24762.09387,64,Greed
08/04/2023,27906.34,28154.99,27859.02,27938.38,19479.96735,61,Greed
09/04/2023,27938.38,28530,27800,28323.76,32531.16101,61,Greed
10/04/2023,28323.76,29770,28170,29637.34,67754.0622,62,Greed
11/04/2023,29637.35,30550,29590,30200.42,67990.07621,68,Greed
12/04/2023,30200.43,30486,29637.4,29888.07,62049.48451,65,Greed
13/04/2023,29888.07,30595,29854.59,30373.84,51934.11731,61,Greed
14/04/2023,30373.84,31000,29966,30466.93,75984.19452,68,Greed
15/04/2023,30466.93,30595.6,30202,30295.09,25429.81247,68,Greed
16/04/2023,30295.1,30549.99,30120,30304.65,26431.99322,68,Greed
17/04/2023,30304.66,30316.06,29240.65,29430.27,56441.81127,69,Greed
18/04/2023,29430.27,30485,29096.78,30380.01,62004.89434,58,Greed
19/04/2023,30380.01,30413.53,28520,28797.1,86575.48656,63,Greed
20/04/2023,28797.1,29088.3,28010,28243.65,76879.09372,52,Neutral
21/04/2023,28243.65,28374.02,27125,27262.84,77684.7679,50,Neutral
22/04/2023,27262.84,27882.72,27140.35,27816.85,36023.69686,53,Neutral
23/04/2023,27816.85,27816.85,27311.25,27590.6,34812.09581,56,Greed
24/04/2023,27590.59,28000,26942.82,27510.93,53111.56874,53,Neutral
25/04/2023,27510.93,28399.99,27192,28300.79,52325.14637,53,Neutral
26/04/2023,28300.8,30036,27235,28415.29,129228.404,56,Greed
27/04/2023,28415.29,29890,28378.86,29472.77,95430.82431,59,Greed
28/04/2023,29472.77,29599.54,28891,29311.7,54298.16578,64,Greed
29/04/2023,29311.69,29448.88,29031,29230.45,20466.83058,64,Greed
30/04/2023,29230.45,29969.39,29079.59,29233.21,39752.5372,60,Greed
01/05/2023,29233.2,29337.34,27666.95,28068.26,64433.65958,63,Greed
02/05/2023,28068.26,28879.88,27872,28669.86,50824.5224,55,Greed
03/05/2023,28669.85,29266.66,28113.69,29026.16,64615.79213,64,Greed
04/05/2023,29026.16,29379.83,28663.64,28838.16,42575.47501,64,Greed
05/05/2023,28838.16,29677,28800,29505.61,58415.83048,61,Greed
06/05/2023,29505.6,29820,28300,28848.2,49249.28459,60,Greed
07/05/2023,28848.19,29138.29,28395.23,28430.1,30003.41028,64,Greed
08/05/2023,28430.09,28631.01,27262,27668.79,68244.36179,60,Greed
09/05/2023,27668.8,27818,27353,27628.27,40113.31069,51,Neutral
10/05/2023,27628.28,28331.42,26777,27598.75,71155.11355,52,Neutral
11/05/2023,27598.74,27630.14,26702.05,26968.62,47635.31365,52,Neutral
12/05/2023,26968.61,27091.12,25811.46,26795.01,67207.93494,49,Neutral
13/05/2023,26795.01,27045.45,26692.03,26775.28,22814.90421,48,Neutral
14/05/2023,26775.27,27200,26560.53,26917.62,21594.8036,48,Neutral
15/05/2023,26917.61,27663.59,26726,27162.14,40430.08333,50,Neutral
16/05/2023,27162.15,27296.89,26852.11,27033.84,33270.45451,54,Neutral
17/05/2023,27033.85,27500,26544.71,27405.61,42958.97785,50,Neutral
18/05/2023,27405.62,27485.33,26361.2,26821.28,49198.65143,51,Neutral
19/05/2023,26821.28,27183.6,26630,26880.26,28754.13544,48,Neutral
20/05/2023,26880.26,27150,26825.11,27102.43,14434.54718,48,Neutral
